SeqID	crossvalidated_tax
Streptococcus_agalactiae_AB002479_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,s_Streptococcus_agalactiae;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae
Streptococcus_agalactiae_AM157422;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,s_Streptococcus_agalactiae;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae
Streptococcus_agalactiae_JQ389895;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,s_Streptococcus_agalactiae;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae
Streptococcus_alactolyticus_AF201899_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,s_Streptococcus_alactolyticus;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;[amb]Streptococcus alactolyticus
Streptococcus_anginosus_AB355609_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,s_Streptococcus_anginosus;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;[amb]Streptococcus anginosus
Suttonella_indologenes_M35015_TS;tax=d_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Cardiobacteriales,f_Cardiobacteriaceae,g_Suttonella,s_Suttonella_indologenes;	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Suttonella;Suttonella indologenes
Virgibacillus_proomii_AJ012667_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Bacillaceae,g_Virgibacillus,s_Virgibacillus_proomii;	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;Virgibacillus proomii
Winogradskyella_Species_JQ083322;tax=d_Bacteria,p_Bacteroidetes,c_Flavobacteriia,o_Flavobacteriales,f_Flavobacteriaceae,g_Winogradskyella,s_Winogradskyella_Species;	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;[amb]Winogradskyella;[amb]Winogradskyella_Species
Yeosuana_aromativorans_AY682382_TS;tax=d_Bacteria,p_Bacteroidetes,c_Flavobacteriia,o_Flavobacteriales,f_Flavobacteriaceae,g_Yeosuana,s_Yeosuana_aromativorans;	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Yeosuana;Yeosuana aromativorans
[Eubacterium]_sulci_HE681354;tax=d_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Clostridiales_Family_XIII,g_[Eubacterium]_nodatum_group,s_[Eubacterium]_sulci;	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Family_XIII;[Eubacterium] nodatum group;[Eubacterium] sulci
